last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Perdomo, Luis,2019,R,1040,34.3,86.6,2295,1.1,-37.4,2.5,1.3,,,,,,,,
Britton, Zack,2019,L,933,13.6,80.6,2562,-11.2,-51.5,13.6,1.4,,,,,,,,
Bass, Anthony,2019,R,714,33.1,87.3,2294,5.4,-35.4,5.9,1.6,,,,,,,,
Rondon, Hector,2019,R,971,35.4,86.8,2348,5.9,-37.6,6.5,1.6,,,,,,,,
Pena, Felix,2019,R,1570,39.4,82.5,2498,1.7,-40.6,3.3,1.7,,,,,,,,
Rodon, Carlos,2019,L,696,37.2,83.8,2452,-6.9,-41.5,7.7,2,,,,,,,,
Grace, Matt,2019,L,704,30.2,83.4,2001,-4.2,-38.0,5.5,1.3,0.1,77.8,,-4.7,-50.0,5.3,,
Pineda, Michael,2019,R,2184,29.4,83.9,2011,-1.4,-37.4,3.3,1.8,,,,,,,,
Keuchel, Dallas,2019,L,1864,11.4,78.4,2229,-8.1,-46.5,9.2,1.6,,,,,,,,
Bummer, Aaron,2019,L,1039,3.1,84.9,2245,-14.4,-36.0,14.9,1.2,,,,,,,,
Mayza, Tim,2019,L,921,35.6,87.8,2186,0.2,-31.6,4.4,1.5,,,,,,,,
Wingenter, Trey,2019,R,906,45.0,85.8,2180,1.8,-38.3,3,1.4,,,,,,,,
Jewell, Jake,2019,R,412,35.6,84.8,2322,4.8,-42.3,6.5,1.3,,,,,,,,
Springs, Jeffrey,2019,L,665,11.2,83.7,2163,-4.8,-39.4,5.5,1.7,,,,,,,,
Lucchesi, Joey,2019,L,2641,,,,,,,,,,,,,,,
Soroka, Mike,2019,R,2555,24.2,83.2,2776,6.4,-45.8,7.8,2.1,,,,,,,,
Barria, Jaime,2019,R,1498,47.0,83.9,2239,3.3,-33.9,7.7,2,,,,,,,,
Chirinos, Yonny,2019,R,1984,21.5,87.5,2335,3.6,-29.6,7.7,1.8,,,,,,,,
Feliz, Michael,2019,R,1015,20.1,81.8,2374,7.9,-37.6,9.5,2,,,,,,,,
Soto, Gregory,2019,L,1104,23.8,84.9,2326,-3.7,-34.7,5.6,2.6,,,,,,,,
Strop, Pedro,2019,R,725,39.8,83.1,2429,4.7,-42.6,5.8,1.4,,,,,,,,
